Sprite: 'tile_1_0' rect=(x:16.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_4' rect=(x:112.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_7_5' rect=(x:112.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_0' rect=(x:128.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_1' rect=(x:128.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_2' rect=(x:128.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_3' rect=(x:128.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_4' rect=(x:128.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_8_5' rect=(x:128.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_0' rect=(x:144.00, y:80.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_1' rect=(x:144.00, y:64.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_2' rect=(x:144.00, y:48.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_3' rect=(x:144.00, y:32.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_4' rect=(x:144.00, y:16.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
Sprite: 'tile_9_5' rect=(x:144.00, y:0.00, width:16.00, height:16.00) bounds=(1.00, 1.00, 0.20)
